league,season,mid,date,team,opp,is_home,gf,np_raw,np_comp,pen,ns,red_xg,comp_np_scaled,sf,xg_model,ns_eff,xgps,sf_wf,md_wf
LaLiga,2223,3918093,2023-01-08,8370,8603,1,1,1.6145633105188608,0.7996572602540255,0,15,0.0,1.1618107416655807,1.4809766660306878,1.1618107416655807,15.0,0.07745404944437205,1.4528858792534576,15.5
LaLiga,2223,3918095,2023-01-08,8305,8302,0,1,0.7241366859525442,0.7241366859525442,0,11,0.0,1.0520879656698472,1.4809766660306878,1.0520879656698472,11.0,0.09564436051544066,1.4528858792534576,15.5
LaLiga,2223,3918095,2023-01-08,8302,8305,1,2,1.2045096270740032,0.8763640575110911,0,11,0.0,1.2732569642431293,1.4809766660306878,1.2732569642431293,11.0,0.11575063311301176,1.4528858792534576,15.5
LaLiga,2223,3918088,2023-01-09,8371,8315,0,0,0.36011098325252533,0.1927710071206093,0,3,0.0,0.2801989277347884,1.4809766660306878,0.2801989277347884,3.0,0.09339964257826279,1.4535325198538742,15.9
LaLiga,2223,3918088,2023-01-09,8315,8371,1,0,1.0168250650167465,0.89199323579669,0,17,0.0,1.2965411757201737,1.4809766660306878,1.2965411757201737,17.0,0.07626712798353963,1.4535325198538742,15.9
LaLiga,2223,3918098,2023-01-13,10205,9910,0,1,0.13658779300749302,0.13658779300749302,0,3,0.0,0.19844273068028767,1.4809766660306878,0.19844273068028767,3.0,0.06614757689342922,1.452858460560977,16.0
LaLiga,2223,3918098,2023-01-13,9910,10205,1,1,2.158403977751732,1.7053553506731989,0,21,0.0,2.4776399494884886,1.4809766660306878,2.4776399494884886,21.0,0.11798285473754708,1.452858460560977,16.0
LaLiga,2223,3918102,2023-01-14,8302,7732,0,1,1.1195892114192247,0.7864558745175599,0,10,0.0,1.1416726954955658,1.4809766660306878,1.1416726954955658,10.0,0.11416726954955658,1.4516678334889526,16.1
LaLiga,2223,3918102,2023-01-14,7732,8302,1,2,2.254610577598214,1.4741709638386964,0,19,0.0,2.1400065692680412,1.4809766660306878,2.1400065692680412,19.0,0.11263192469831795,1.4516678334889526,16.1
LaLiga,2223,3918103,2023-01-14,8315,8560,0,1,0.3144838847219944,0.3144838847219944,0,6,-0.14525,0.4565261396015671,1.4809766660306878,0.31127613960156714,7.4525,0.041768016048516224,1.4516678334889526,16.1
