pid,season,name,min,value,box,pm,pir40
P005718,E2017,"TIMMA, JANIS",752.03,-1.167176333455271,-1.8150505132256693,0.6478741797703984,13.014657542760354
P005757,E2017,"RANDOLPH, ANTHONY",375.87,0.23184750738740423,1.07979690500455,-0.8479493976171457,20.612517423157804
P005781,E2017,"KANE, DEANDRE",701.3,0.22209795626299733,0.9037363193294217,-0.6816383630664243,16.88366238132797
P005791,E2017,"TAVARES, WALTER",504.69,7.392851774170933,7.915696128950506,-0.5228443547795726,23.100892467476065
P005800,E2017,"HONEYCUTT, TYLER",359.97,7.148888904263616,5.957822249609252,1.1910666546543647,22.716435128721663
P005836,E2017,"THOMPKINS, TREY",615.6899999999999,4.416413894674175,6.1696601153281145,-1.7532462206539392,20.46818967172673
P005838,E2017,"WANAMAKER, BRAD",941.96,-0.037458193405942364,-0.9285593554065688,0.8911011620006264,19.43345105969337
P005856,E2017,"THOMAS, WILL",708.11,-0.42369508628585306,-0.42194180356994615,-0.001753282715906912,14.216973761193527
P005881,E2017,"GABRIEL, KENNY",372.94,1.3486857201650622,0.28232493025580974,1.0663607899092524,10.675516273011596
P005917,E2017,"ORIOLA, PIERRE",508.26,2.8096850002083382,3.523731399572824,-0.7140463993644856,17.770161881692207
P005918,E2017,"FELDEINE, JAMES",697.9,-5.774202656284416,-6.533029621229201,0.7588269649447855,15.8025801054745
P005927,E2017,"AYON, GUSTAVO",416.13,10.251245801607936,7.2493178121303385,3.0019279894775988,23.18965893507082
P005928,E2017,"CAMPAZZO, FACUNDO",696.42,0.9420252699945311,-0.9788216498121265,1.9208469198066576,17.74048701207667
P005929,E2017,"DONCIC, LUKA",854.25,2.4537745413190972,3.626009641882476,-1.1722351005633789,31.615277617142365
P005938,E2017,"ANDERSON, JAMES",650.08,-0.7586314642604013,-1.387542429551479,0.6289109652910778,15.476854023781598
P005942,E2017,"DANGUBIC, NEMANJA",363.42,2.320454570233205,2.4902914724268657,-0.16983690219366065,14.088469781533174
P005985,E2017,"JAMES, MIKE",305.25,0.018634957672506863,-0.12490028055581279,0.14353523822831965,22.822649392123637
P006183,E2017,"MASIULIS, GYTIS",38.339999999999996,3.0824357319489337,2.9841251456931044,0.09831058625582946,17.12359885902923
P006357,E2017,"MAKIEV, ALAN",0.92,-0.09428253924409062,-0.08271801945915569,-0.011564519784934935,16.338472712624885
P006385,E2017,"PASCOLO, DAVIDE",125.46,-0.021847791348094947,0.1647473884164508,-0.18659517976454576,15.297075606130154
P006399,E2017,"DUVERIOGLU, AHMET",242.69,6.451130118989138,6.1960011173134895,0.2551290016756478,15.783590610050203
P006420,E2017,"HECKMANN, PATRICK",155.67,-2.5032150928812587,-3.42835133056233,0.9251362376810716,8.796020910384886
P006433,E2017,"PANGOS, KEVIN",963.25,-0.4129374028037477,0.28872135291995404,-0.7016587557237017,20.58676573351338
P006450,E2017,"HIGGINS, CORY",890.12,0.6492712967196397,1.2797079573561885,-0.6304366606365488,21.824504773318488
P006477,E2017,"RUBIT, AUGUSTINE",651.39,2.4144582794971012,3.117285750131233,-0.7028274706341318,21.625093049093152
P006505,E2017,"WHITE, AARON",777.89,2.169608179888492,2.95559427328007,-0.7859860933915783,17.779993696429056
P006536,E2017,"RUDD, VICTOR",131.9,-3.352916726081213,-3.085472710644514,-0.2674440154366987,12.629920940742146
P006543,E2017,"RADONCIC, DINO",45.42,-3.9727900865771275,-3.973694652431265,0.0009045658541373403,11.613799107124903
P006546,E2017,"TAYLOR, JEFFERY",696.19,-3.897195945548997,-3.7607161114266225,-0.1364798341223743,10.209722134362531
P006586,E2017,"KALAITZAKIS, GEORGIOS",0.37,-0.38543136036879255,-0.39141985144229097,0.005988491073498396,17.225053961921923
P006590,E2017,"BEAUBOIS, RODRIGUE",703.22,-0.5350298961660571,-0.05819659704996699,-0.47683329911609007,19.532480100293945
P006599,E2017,"MOTUM, BROCK",558.11,-3.4372409632367233,-2.2807690890096763,-1.156471874227047,15.937880697995933
P006614,E2017,"SINGLETON, CHRIS",1026.67,3.610505118670027,3.2733759897199626,0.33712912895006436,16.587713053652003
P006625,E2017,"ZOOSMAN, YOVEL",112.60000000000001,-2.6114485696693874,-1.9071918928754195,-0.7042566767939682,13.212035118335388
P006643,E2017,"PUERTO, JOSEP",32.28,-1.3897985099167927,-1.1455030211264965,-0.24429548879029606,16.396119338963587
P006693,E2017,"SAYBIR, YIGITCAN",10.9,-3.924261681131357,-3.7636566671641587,-0.1606050139671984,13.064730984293087
P006737,E2017,"ROSA, IGNACIO",0.18,-0.368713961190345,-0.36945595351723515,0.0007419923268901709,17.25772276061193
P006919,E2017,"OLINDE, LOUIS",114.7,0.3210206448657309,-0.8902097968009401,1.211230441666671,13.082807015175145
P007032,E2017,"LO, MAODO",502.40999999999997,-4.079573229276188,-3.763331826970797,-0.3162414023053911,11.037131963543274
P007185,E2017,"JONES, KEVIN",157.22,1.5859389194102085,1.3344526126277767,0.2514863067824317,15.896425885071546
P007201,E2017,"VOIGTMANN, JOHANNES",720.83,7.205284934835593,6.162545577632117,1.0427393572034762,20.965216507873862
P007400,E2017,"NUNNALLY, JAMES",599.17,2.6695506186296667,1.1399227767282998,1.5296278419013667,17.004274591527246
P007516,E2017,"ARLAUSKAS, MARTYNAS",13.379999999999999,-0.5240220487610231,-0.504234884356854,-0.019787164404169083,15.601328860099695
P007865,E2017,"ANTETOKOUNMPO, THANASIS",374.7,2.4365650287153713,2.0694029734788115,0.36716205523655976,14.34354048063641
P007866,E2017,"MITOGLOU, KONSTANTINOS",12.44,-0.1826634863556036,0.009981649712987817,-0.1926451360685914,16.08750147774905
P007870,E2017,"DAVIES, BRANDON",608.86,4.767672135277941,3.948572209233503,0.8190999260444383,21.963263078969195
P007872,E2017,"ADAMS, JOSH",268.07,-1.50559906691573,-1.116450546862108,-0.3891485200536219,16.1080193065398
P007929,E2017,"BITIM, ONURALP",35.29,-2.1999042866387133,-2.4092125000274374,0.20930821338872402,15.735669052835418
P007946,E2017,"THEODORE, JORDAN",605.12,-3.7390046378640416,-4.719350211579475,0.9803455737154335,16.747331895504455
P007947,E2017,"VILDOZA, LUCA",317.21,-2.082535363253052,-3.1780095862684523,1.0954742230154002,13.156153175039197
P007948,E2017,"AUGUSTE, ZACH",81.3,0.0751136931046747,0.3867745473619574,-0.3116608542572827,12.624813382008291
P007960,E2017,"DAVIDOVAC, DEJAN",375.43,1.4797139207901548,2.7134522088657924,-1.2337382880756376,18.696503515045546
P007961,E2017,"JANKOVIC, STEFAN",330.59,-2.965934544180106,-2.0468708375295517,-0.9190637066505547,12.654447772029318
P007969,E2017,"LEDO, RICKY",272.81,-6.337494328355694,-7.2661611889952695,0.9286668606395754,12.577126863973884
P007988,E2017,"BOLDEN, JONAH",613.89,5.068680362539072,6.522081712187024,-1.4534013496479519,19.39917727683271
P007989,E2017,"COLE, NORRIS",686.5600000000001,-4.3702168787456825,-4.31314807089241,-0.05706880785327245,17.96287462642151
P007990,E2017,"DIBARTOLOMEO, JOHN",359.69,-2.771752915374188,-1.4830262385543724,-1.288726676819816,10.983224925837202
P007991,E2017,"MUSTAFA, MUHAYMIN",49.47,-7.832037239110269,-7.089837419157784,-0.7421998199524851,9.961053496742512
P007992,E2017,"JEFFERSON, CORY",149.49,-4.04135166502545,-3.3922726815856477,-0.649078983439803,10.296519564544084
P007993,E2017,"M'BAYE, AMATH",528.98,-1.5835994551817751,-1.1478078137283423,-0.43579164145343285,12.54233626849519
P007994,E2017,"GARINO, PATRICIO",347.37,-0.4237188896554689,-2.3049543837886532,1.8812354941331844,13.163329383190877
P007995,E2017,"MARTINEZ, IVAN",5.73,-2.766563010467906,-2.931396475782332,0.16483346531442608,14.838538410650745
P007996,E2017,"MCRAE, JORDAN",45.879999999999995,-3.2786929045500073,-4.705217535010589,1.4265246304605816,16.238543091294922
P007997,E2017,"PRESSEY, PHIL",224.99,-1.1740789515631436,-1.543991726605558,0.36991277504241443,14.920085744663233
P007998,E2017,"THOMPSON, JASON",575.33,4.801132097266956,3.0873884291396636,1.7137436681272922,15.590716636545247
P008001,E2017,"GILL, ANTHONY",811.82,4.870991306278016,2.831508676680667,2.039482629597349,19.79434391234904
P008002,E2017,"MCCALLUM, RAY",644.42,-4.273502775456195,-4.595392761860761,0.321889986404566,15.379595747236914
