comp,utc,home,away,hid,aid,νεκρη,R_home,R_away,val_adj,xg_h_D,xg_a_D,xg_h_A_D,xg_a_A_D,xg_h_AV_D,xg_a_AV_D,val_src,V_h,V_a,Vh_raw,Va_raw,diff,xg_h,xg_a,P1,PX,P2,fair_1,fair_X,fair_2,fair_line,fair_m05,fair_p05,diff_A,xg_h_A,xg_a_A,P1_A,PX_A,P2_A,R_home_A,R_away_A,diff_AV,xg_h_AV,xg_a_AV,P1_AV,PX_AV,P2_AV
NL A,2026-10-04T18:45,Netherlands,Serbia,6708,8205,,1901,1671,67,2.365,0.839,2.565,0.708,2.67,0.825,κληση/κληση,489.6,148.7,489578688,148696134.0,357,2.48,0.73,76,17,7,1.32,5.85,14.01,-1.50 @1.91,1.35,1.1,369,2.53,0.74,76,17,7,1971,1662,436,2.81,0.69,82,13,5
NL A,2026-10-04T18:45,Portugal,Norway,8361,8492,,1943,1889,15,1.812,1.26,2.055,1.214,2.044,1.274,κληση/κληση,528.4,407.0,528411881,406955701.0,129,1.85,1.22,48,31,20,2.06,3.2,4.91,-0.75 @1.97,1.97,1.32,167,2.04,1.23,53,30,18,2041,1934,182,2.1,1.22,55,29,17
NL A,2026-10-04T18:45,Wales,Denmark,5790,8238,,1658,1851,-41,0.912,1.658,0.826,1.807,0.885,1.884,κληση/κληση,125.6,261.3,125615599,261333961.0,-174,0.86,1.71,16,28,56,6.28,3.55,1.79,+0.25 @2.27,5.53,2.27,-195,0.84,1.79,14,27,59,1622,1877,-236,0.81,1.96,12,24,64
NL B,2026-10-04T18:45,Ireland,Israel,5791,8567,,1666,1625,53,1.77,1.112,1.709,1.077,1.858,1.103,κληση/κληση,130.4,50.9,130446337,50905833.0,154,1.82,1.06,52,30,18,1.93,3.34,5.46,-0.75 @1.87,1.87,1.27,125,1.7,1.09,47,32,21,1675,1610,178,1.91,1.05,54,29,17
NL C,2026-10-05T16:00,Cyprus,Latvia,5793,5795,,1372,1331,42,1.583,0.971,1.606,0.911,1.71,0.947,κληση/κληση,13.5,6.3,13463861,6336354.0,143,1.63,0.93,50,31,19,1.99,3.28,5.22,-0.75 @1.92,1.92,1.26,138,1.59,0.92,49,31,20,1371,1293,180,1.77,0.89,55,29,17
NL A,2026-10-05T18:45,France,Belgium,6723,8263,,2031,1911,56,2.246,1.235,2.115,0.943,2.234,1.009,κληση/κληση,769.7,282.3,769702173,282303154.0,236,2.32,1.16,62,25,13,1.6,4.0,7.89,-1.00 @1.96,1.62,1.21,233,2.09,0.96,61,26,13,2136,1963,289,2.32,0.92,68,22,10
NL A,2026-10-05T18:45,Italy,Turkiye,8204,6595,,1847,1811,24,1.731,1.221,2.08,1.132,2.095,1.196,κληση/κληση,385.1,252.2,385136714,252228689.0,119,1.77,1.18,47,32,21,2.12,3.16,4.71,-0.75 @2.02,2.02,1.33,188,2.06,1.15,56,28,16,1925,1797,212,2.16,1.13,59,27,14
NL B,2026-10-05T18:45,Bosnia and Herzegovina,Poland,10106,8568,,1619,1708,-39,1.163,1.456,1.193,1.248,1.179,1.391,κληση/κληση,60.8,122.3,60834027,122304793.0,-68,1.14,1.48,25,33,42,4.02,3.02,2.38,+0.25 @1.77,3.53,1.77,-11,1.19,1.25,31,34,35,1639,1710,-50,1.16,1.41,26,34,40
NL B,2026-10-05T18:45,Northern Ireland,Georgia,10259,8268,,1615,1619,-44,1.218,1.168,1.426,1.122,1.235,1.167,κληση/κληση,73.9,162.6,73859574,162627334.0,12,1.22,1.16,34,34,32,2.98,2.92,3.11,+0.00 @1.93,2.76,1.5,60,1.42,1.13,39,34,27,1619,1619,16,1.24,1.16,34,34,32
NL B,2026-10-05T18:45,Romania,Sweden,9730,8520,,1619,1721,-84,1.138,1.678,0.842,1.565,0.86,1.826,κληση/κληση,65.1,293.8,65147224,293758267.0,-126,1.1,1.72,20,31,50,5.1,3.25,2.02,+0.25 @2.01,4.24,2.01,-144,0.86,1.55,18,30,52,1592,1796,-228,0.79,1.9,12,25,63
NL B,2026-10-05T18:45,Ukraine,Hungary,6718,8565,,1772,1739,-3,1.583,1.199,1.538,1.152,1.497,1.184,κληση/κληση,152.0,160.0,151989139,160000334.0,90,1.61,1.17,43,33,24,2.31,3.05,4.18,-0.75 @2.17,2.17,1.37,77,1.53,1.16,41,33,26,1716,1699,74,1.52,1.16,41,33,26
